gvkey,year,s_integrity,s_teamwork,s_innovation,s_respect,s_quality
001004,2010,1.4465,3.6657,2.6299,1.3743,2.5958
001013,2010,1.1423,1.1083,2.7738,1.4239,1.9346
001045,2010,4.2594,7.3465,3.1015,2.8876,2.1808
001050,2010,1.4681,1.337,3.8452,2.227,1.9554
001072,2010,2.2057,0.7097,1.725,1.3193,1.6289
001075,2010,2.4987,2.7187,2.9213,1.4574,1.1102
001076,2010,1.9237,1.2389,2.1825,2.4821,1.5327
001078,2010,2.3859,2.2204,2.655,1.1273,1.0569
001094,2010,5.0841,5.1707,4.9322,4.9502,1.1247
001104,2010,2.1987,1.3305,4.4136,2.203,3.0736
001117,2010,3.6767,6.1124,7.2925,6.4507,5.7024
001133,2010,5.6971,1.6584,2.6247,2.7851,0.7162
001161,2010,1.7169,1.7891,5.1033,0.6046,2.3016
001166,2010,2.4501,2.6805,3.5555,0.6503,3.4209
001177,2010,6.258,3.0175,3.9783,4.668,1.8579
001186,2010,2.3455,1.3749,2.5583,1.6868,2.938
001209,2010,0.938,0.5929,1.9277,1.0257,2.9027
001221,2010,1.2675,2.6545,4.2389,3.0083,6.7181
001230,2010,2.343,2.8443,4.1134,1.7032,1.9228
001239,2010,2.0873,0.6729,2.6509,0.5581,1.3856
001263,2010,3.0129,1.6445,0.8867,0.7958,1.7632
001279,2010,2.2689,0.9396,1.5636,1.2309,1.6672
001327,2010,1.3306,1.9133,8.6552,1.0123,3.6994
001356,2010,2.1522,1.9628,2.0957,1.3182,1.9536
001380,2010,1.0878,2.414,2.1311,1.4516,2.4525
001393,2010,3.5968,1.1446,3.18,2.2303,4.4302
001408,2010,2.5677,0.6812,3.4702,1.74,0.8651
001410,2010,3.791,3.0263,8.4984,5.2092,3.6175
001414,2010,2.8983,1.3198,3.9442,11.6375,1.3035
001439,2010,1.8619,1.8053,1.5734,1.9277,1.5615
001440,2010,4.7161,2.2239,3.0615,4.796,2.5733
001447,2010,2.4167,1.8074,4.3887,3.4501,1.1564
001449,2010,3.3973,1.4371,2.9417,6.4395,1.0227
001468,2010,1.5194,1.3826,5.5785,1.8885,0.5277
001523,2010,4.3154,4.1612,8.0962,5.3753,2.2754
001533,2010,2.4873,1.3681,1.0514,4.7777,2.1467
001539,2010,7.3074,1.9121,0.8046,5.8547,0.5477
001554,2010,2.0396,1.3361,3.9577,1.9359,3.3522
001559,2010,2.4793,4.4138,5.2409,3.7792,3.8453
001562,2010,0.7126,0.9612,1.4735,1.5831,1.6369
001585,2010,1.8213,1.7414,3.6355,3.4145,3.0604
001598,2010,1.4872,1.0669,3.4004,1.9441,1.5717
001602,2010,3.7483,3.329,3.3673,4.9243,1.7317
001608,2010,3.502,1.4017,4.5815,7.8791,1.2648
001623,2010,1.9338,0.5864,2,2.0054,3.1101
001632,2010,1.6656,1.476,3.9947,0.887,2.0368
001633,2010,1.2043,2.2211,1.8664,2.6808,2.5745
001634,2010,2.7741,2.4529,1.8826,20.2488,5.4227
001635,2010,1.1242,1.5045,5.0247,0.8852,5.5179
001659,2010,1.9935,0.7146,1.3468,1.1562,2.1519
001661,2010,1.9323,1.0678,1.9099,1.6092,1.1915
001678,2010,2.138,1.3476,2.8977,1.8313,1.6392
001686,2010,1.606,1.383,2.2079,1.0883,2.5347
001690,2010,2.4681,2.5224,6.79,3.3709,2.8956
001704,2010,0.7042,0.918,3.0646,0.7751,3.2268
001706,2010,1.5139,1.6848,3.0311,2.6378,1.5865
001722,2010,1.9656,1.7356,2.3165,1.5672,2.052
001743,2010,3.0344,1.5542,1.9819,2.8102,2.8005
001773,2010,0.8097,1.2048,3.1694,0.9461,2.8763
001782,2010,2.4769,0,5.3899,0.8926,3.36
001783,2010,1.8644,1.372,2.2291,5.1955,7.9851
001794,2010,2.1643,1.1562,2.3152,1.3493,2.5787
001821,2010,3.6354,1.3998,3.4366,4.0718,4.1126
001823,2010,2.3834,1.7832,3.3889,2.215,2.8442
001837,2010,2.1415,1.1354,2.0443,1.6067,2.6708
001860,2010,3.1683,2.0713,2.8174,2.0367,3.5713
001864,2010,2.4999,1.4849,1.4747,1.7071,5.1387
001878,2010,3.0432,1.9576,6.3958,2.775,2.1443
001891,2010,2.1262,1.2935,3.4329,4.2305,1.2932
001913,2010,1.447,0.8286,3.3566,0.9795,2.0613
001919,2010,1.2326,1.6331,2.5135,1.8461,2.1423
001920,2010,1.5326,1.3891,5.198,2.3352,0.8602
001926,2010,1.9746,0.7918,2.071,1.0969,1.3357
001968,2010,2.2795,2.1166,2.672,2.187,2.0201
001976,2010,1.1087,2.5005,2.6163,1.728,2.8484
001979,2010,2.0259,1.8642,3.1589,1.5343,3.1904
001981,2010,1.3664,0.6862,2.0855,1.5317,3.6669
001982,2010,4.0953,3.2794,4.9299,6.0673,0
001988,2010,1.2788,1.8286,2.3575,1.1633,2.271
001995,2010,2.8418,1.9008,3.2387,1.1662,2.2047
002002,2010,2.1601,1.1427,1.8008,1.4941,0.7472
002005,2010,1.9635,0.8688,1.697,1.9786,0.5008
002019,2010,2.9233,2.4804,3.5557,2.4632,0.939
002025,2010,1.3575,0.8943,2.4953,2.8673,0.5151
002044,2010,1.8241,1.801,3.0662,3.7482,1.0349
002049,2010,1.6002,1.3809,2.8595,2.6716,2.6067
002055,2010,2.5459,2.0866,2.3995,1.9661,1.6292
002086,2010,3.1961,2.1523,4.8429,2.4442,1.2921
002101,2010,0.8802,1.1732,2.1217,1.2414,1.5444
002111,2010,1.8716,1.8673,2.6107,1.0595,1.1582
002124,2010,1.6581,1.7171,2.3282,4.851,2.5743
002136,2010,1.7223,1.3613,4.7656,1.5963,2.4064
002137,2010,2.2034,0.5775,2.6398,1.5525,1.8633
002150,2010,2.0494,2.17,1.8394,3.0006,1.3259
002154,2010,0.8717,1.8145,4.9259,1.1822,2.0231
002184,2010,1.8564,2.1864,8.7332,2.4651,1.5274
002220,2010,1.7836,1.6641,1.8106,1.4361,1.0371
002222,2010,4.0653,8.342,3.3061,6.0248,2.7091
002230,2010,3.4148,1.4116,3.7813,2.4394,1.0985
002251,2010,4.8642,5.6953,4.9315,5.1037,4.2628
002255,2010,1.9758,0.2302,3.2344,1.1173,0.9368
002259,2010,1.6373,0.7754,1.7917,0.9445,1.4508
002269,2010,4.8397,3.0969,5.0731,4.0522,1.3147
002270,2010,2.5084,1.6543,2.6474,1.1605,4.249
002282,2010,1.4949,1.3902,8.6877,4.1941,1.3325
002285,2010,1.8149,2.1686,2.5053,1.7848,6.163
002290,2010,1.5949,2.0629,5.1811,3.0097,2.0066
002300,2010,1.9385,1.9443,1.6974,1.9082,1.6771
002312,2010,2.4089,0.9527,2.1266,6.3552,1.1714
002338,2010,2.2401,1.3953,2.9408,0.6899,1.912
002345,2010,3.3755,3.8507,6.2991,1.2821,3.2503
002346,2010,2.1912,0.3803,3.2833,0.325,0.6071
002352,2010,1.857,1.4545,5.4052,2.7309,2.057
002365,2010,3.3548,5.1623,3.4732,2.148,3.0429
